Conv__model.0_conv_Conv_142                                  	None	eculidean_norm=0.059963	cosine_norm=0.998202
Relu__model.0_act_Relu_134                                   	None	eculidean_norm=0.030821	cosine_norm=0.999525
Conv__model.1_conv_Conv_126                                  	None	eculidean_norm=0.040476	cosine_norm=0.999181
Relu__model.1_act_Relu_119                                   	None	eculidean_norm=0.028075	cosine_norm=0.999606
Conv__model.2_cv1_conv_Conv_132                              	None	eculidean_norm=0.018468	cosine_norm=0.999829
Conv__model.2_cv2_conv_Conv_118                              	None	eculidean_norm=0.039379	cosine_norm=0.999225
Relu__model.2_cv1_act_Relu_124                               	None	eculidean_norm=0.016565	cosine_norm=0.999863
Relu__model.2_cv2_act_Relu_110                               	None	eculidean_norm=0.016351	cosine_norm=0.999866
Conv__model.2_m_m.0_cv1_conv_Conv_143                        	None	eculidean_norm=0.014924	cosine_norm=0.999888
Relu__model.2_m_m.0_cv1_act_Relu_141                         	None	eculidean_norm=0.011541	cosine_norm=0.999933
Conv__model.2_m_m.0_cv2_conv_Conv_133                        	None	eculidean_norm=0.018831	cosine_norm=0.999823
Relu__model.2_m_m.0_cv2_act_Relu_125                         	None	eculidean_norm=0.011345	cosine_norm=0.999936
Add__model.2_m_m.0_Add_117                                   	None	eculidean_norm=0.015360	cosine_norm=0.999882
Concat__model.2_Concat_109                                   	None	eculidean_norm=0.015762	cosine_norm=0.999875
Conv__model.2_cv3_conv_Conv_101                              	None	eculidean_norm=0.020631	cosine_norm=0.999787
Relu__model.2_cv3_act_Relu_92                                	None	eculidean_norm=0.012657	cosine_norm=0.999920
Conv__model.3_conv_Conv_84                                   	None	eculidean_norm=0.016088	cosine_norm=0.999870
Relu__model.3_act_Relu_74                                    	None	eculidean_norm=0.011462	cosine_norm=0.999934
Conv__model.4_cv2_conv_Conv_64                               	None	eculidean_norm=0.030599	cosine_norm=0.999532
Conv__model.4_cv1_conv_Conv_81                               	None	eculidean_norm=0.014245	cosine_norm=0.999899
Relu__model.4_cv2_act_Relu_59                                	None	eculidean_norm=0.016779	cosine_norm=0.999859
Relu__model.4_cv1_act_Relu_71                                	None	eculidean_norm=0.010277	cosine_norm=0.999947
Conv__model.4_m_m.0_cv1_conv_Conv_99                         	None	eculidean_norm=0.016647	cosine_norm=0.999862
Relu__model.4_m_m.0_cv1_act_Relu_90                          	None	eculidean_norm=0.013279	cosine_norm=0.999912
Conv__model.4_m_m.0_cv2_conv_Conv_82                         	None	eculidean_norm=0.016746	cosine_norm=0.999859
Relu__model.4_m_m.0_cv2_act_Relu_72                          	None	eculidean_norm=0.013281	cosine_norm=0.999912
Add__model.4_m_m.0_Add_62                                    	None	eculidean_norm=0.013965	cosine_norm=0.999902
Conv__model.4_m_m.1_cv1_conv_Conv_91                         	None	eculidean_norm=0.018506	cosine_norm=0.999829
Relu__model.4_m_m.1_cv1_act_Relu_83                          	None	eculidean_norm=0.013532	cosine_norm=0.999908
Conv__model.4_m_m.1_cv2_conv_Conv_73                         	None	eculidean_norm=0.020657	cosine_norm=0.999787
